MES,PET_M,Ocupados_M,Desocupados_M,PEA_M,Informales_M,TD_%,TGP_%,TO_%,Tasa_Informalidad_%,Año,Ciudad
12,1.5770199166666732,0.9000170310531267,0.11215440594424834,1.0121714369973749,0.49952362969715997,11.080574085053858,64.18253988426403,57.07074600271892,55.501575243821556,2024,Barranquilla A.M.
1,1.579110333333225,0.9027381596913565,0.1121332809916375,1.0148714406829942,0.5026270293265426,11.049013352486634,64.26855801397858,57.16751645756345,55.67805281416145,2025,Barranquilla A.M.
2,1.5811698333333333,0.9038331982252376,0.11236017906198249,1.01619337728722,0.5015594913933125,11.056968247710266,64.26845212098047,57.162309776668785,55.49248383199159,2025,Barranquilla A.M.
3,1.5831955833334226,0.907248865167845,0.11090449219493169,1.0181533573627768,0.4984077419779467,10.892709962887787,64.31001754180315,57.30491385389227,54.93616593124524,2025,Barranquilla A.M.
4,1.5851915000002743,0.9125188139567265,0.11123031440923749,1.0237491283659643,0.4947720228375309,10.864997227081934,64.5820475548719,57.56520987884232,54.22047362422864,2025,Barranquilla A.M.
5,1.5871614166665928,0.9135029224770449,0.11165843924766335,1.0251613617247084,0.4936400234414242,10.891791616083902,64.59086964688098,57.555766721926304,54.038143863062324,2025,Barranquilla A.M.
6,1.5891075833332866,0.9134485552169332,0.11007088056158083,1.0235194357785142,0.49127736938659416,10.754156366152264,64.40844197795572,57.4818574146439,53.78270802233867,2025,Barranquilla A.M.
7,1.591034583333249,0.9125160081065641,0.11018713793207752,1.0227031460386415,0.48784913269355673,10.774107653709539,64.27912735221997,57.35362497242674,53.461980760844405,2025,Barranquilla A.M.
8,1.5929468333334533,0.9141734315186058,0.10702785984161833,1.0212012913602242,0.48813487980820586,10.480584067716844,64.10768206389064,57.38882255131994,53.39631004122778,2025,Barranquilla A.M.
9,1.5948492500002927,0.9190195100420975,0.10367166201474583,1.0226911720568432,0.49121089182140837,10.137142555581145,64.12462946304521,57.62422436113813,53.44945199247266,2025,Barranquilla A.M.
10,1.5967445833335168,0.9194253689638175,0.10223794863373918,1.0216633175975567,0.4877686362351033,10.007009831198786,63.98414175075106,57.581242395345235,53.05146591558739,2025,Barranquilla A.M.
11,1.5986365000001632,0.9274144724261751,0.10149427998715249,1.0289087524133276,0.4945211176124917,9.86426442083377,64.36164521535838,58.01284234571652,53.32255774689315,2025,Barranquilla A.M.
12,1.6005272500001058,0.9257960576817442,0.10053304963938166,1.0263291073211258,0.48825590114070244,9.795400804892704,64.1244382012901,57.84319246558801,52.73903437905408,2025,Barranquilla A.M.
1,1.6024190833333558,0.9270796219450026,0.09857522997964584,1.0256548519246484,0.4836017240827608,9.610955361315625,64.00665485030788,57.855003824373426,52.163990301951614,2026,Barranquilla A.M.
2,1.604313833333297,0.9278125483569891,0.09926977660274,1.0270823249597292,0.48624970744406587,9.665221004229847,64.020037951412,57.8323597964162,52.40818399202921,2026,Barranquilla A.M.
3,1.6062119166665116,0.9274439430707851,0.0985167236246175,1.0259606666954024,0.4893601983626667,9.60238796892066,63.87455204694616,57.74106974598825,52.76439638415077,2026,Barranquilla A.M.
4,1.6081149166666482,0.9276385341141551,0.09897963211280668,1.0266181662269618,0.4896565565166841,9.641328720743147,63.839850970039414,57.68484108318539,52.78527556903183,2026,Barranquilla A.M.
2,6.4031499999946,3.7543876873945,0.5822530170396,4.3366407044340995,1.2722927336214,13.42636055701506,67.72667678311076,58.6334489649261,33.88815539463789,2022,Bogotá D.C.
3,6.4087520000003,3.7523342211323,0.5970991869942,4.3494334081265,1.3767279927655998,13.728206204481191,67.86708875809668,58.55015486840689,36.68990851113897,2022,Bogotá D.C.
4,6.414904999999799,3.8444731632207993,0.4561493946061,4.3006225578269,1.3371591404273,10.606589824441413,67.04109504080004,59.93032107600844,34.78133631467629,2022,Bogotá D.C.
5,6.4208379999973,3.8605625705568,0.4361876185720999,4.2967501891289,1.3895917814277001,10.151570358353327,66.9188381505764,60.12552521272805,35.9945411071859,2022,Bogotá D.C.
6,6.426964000002499,3.7498369633864996,0.5422847827876,4.2921217461741,1.3192804239274,12.63442220088422,66.78303700117864,58.345386147877,35.182340907321745,2022,Bogotá D.C.
7,6.4329019999985,3.7390195876476002,0.4509322611817999,4.1899518488294,1.3321979314318002,10.762230150873513,65.13315217347284,58.12337243204501,35.629605574491016,2022,Bogotá D.C.
8,6.4390669999991,3.8131766356470997,0.4320959798016,4.2452726154487,1.2081376841428,10.178285800284938,65.92993387783189,59.219396779807276,31.68323420553472,2022,Bogotá D.C.
