index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,Ciudad,Año
9,Actividades financieras y de seguros,1238.35725535225,1473.8202793648334,2712.1775347170833,1.9,1.5,2.3,3,1,1,Ibagué,2025
10,Información y comunicaciones,1579.0499137631666,516.2684309904166,2095.318344753583,1.4,1.9,0.8,2,2,1,Ibagué,2025
11,Actividades inmobiliarias,1337.0048980676668,574.6259329729166,1911.6308310405834,1.3,1.6,0.9,2,1,1,Ibagué,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",1545.2817287615,347.8962657925,1893.1779945540002,1.3,1.9,0.5,2,2,0,Ibagué,2025
0,"Administración pública y defensa, educación y atención de la salud humana",1069.0714060250834,1084.955393227,2154.0267992520835,23.8,17.4,37.0,2,1,1,Inírida,2025
1,Transporte y almacenamiento,1837.0223571321667,131.1617404295,1968.1840975616667,21.7,30.0,4.5,2,2,0,Inírida,2025
2,Comercio y reparación de vehículos,1151.8221637088334,668.5288408065,1820.3510045153334,20.1,18.8,22.8,2,1,1,Inírida,2025
3,Construcción,838.6765798363333,0.0,838.6765798363333,9.3,13.7,0.0,1,1,0,Inírida,2025
4,Alojamiento y servicios de comida,125.54180257658334,445.425484049,570.9672866255833,6.3,2.0,15.2,1,0,0,Inírida,2025
5,"Agricultura, ganadería, caza, silvicultura y pesca",498.28798690941665,6.60091185875,504.88889876816665,5.6,8.1,0.2,1,0,0,Inírida,2025
6,Industrias manufactureras,298.42158129083333,120.80427172825,419.22585301908333,4.6,4.9,4.1,0,0,0,Inírida,2025
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",98.07865486675,272.63007473075,370.7087295975,4.1,1.6,9.3,0,0,0,Inírida,2025
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",118.78088842408334,138.34800339025,257.1288918143333,2.8,1.9,4.7,0,0,0,Inírida,2025
9,"Suministro de electricidad, gas, agua y gestión de desechos^",84.607969135,31.58014857225,116.18811770725,1.3,1.4,1.1,0,0,0,Inírida,2025
10,Actividades financieras y de seguros,5.9161699927499996,29.930272230083332,35.84644222283333,0.4,0.1,1.0,0,0,0,Inírida,2025
11,Actividades inmobiliarias,3.85584797325,0.0,3.85584797325,0.0,0.1,0.0,0,0,0,Inírida,2025
0,"Administración pública y defensa, educación y atención de la salud humana",2328.4385671673335,2202.6061806226667,4531.04474779,27.2,22.8,34.2,5,2,2,Leticia,2025
