index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,CV_%,Clasificacion_Precision,Ciudad,Año
7,Construcción,48.6,18.6,30.1,97.3,3.7,✅ Precisión alta,Valledupar,2025
5,Transporte y almacenamiento,44.1,10.1,24.1,98.0,5.2,✅ Precisión alta,Valledupar,2025
1,Alojamiento y servicios de comida,43.5,11.4,22.2,96.9,4.9,✅ Precisión alta,Valledupar,2025
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",43.2,10.2,22.3,97.2,5.2,✅ Precisión alta,Valledupar,2025
0,"Administración pública y defensa, educación y atención de la salud humana",91.2,86.4,88.4,98.7,0.6,✅ Precisión alta,Villavicencio,2025
8,"Suministro de electricidad, gas, agua y gestión de desechos^",77.1,70.5,67.3,93.4,1.0,✅ Precisión alta,Villavicencio,2025
5,Industrias manufactureras,64.8,40.3,61.4,92.7,1.9,✅ Precisión alta,Villavicencio,2025
2,Comercio y reparación de vehículos,62.2,39.1,54.5,92.9,1.9,✅ Precisión alta,Villavicencio,2025
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",60.8,36.3,50.0,96.0,2.0,✅ Precisión alta,Villavicencio,2025
4,Transporte y almacenamiento,60.6,34.8,56.9,90.1,2.1,✅ Precisión alta,Villavicencio,2025
7,Construcción,55.2,25.4,54.3,85.9,2.6,✅ Precisión alta,Villavicencio,2025
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.4,20.7,39.7,93.8,3.0,✅ Precisión alta,Villavicencio,2025
3,Alojamiento y servicios de comida,47.5,15.4,37.5,89.6,3.6,✅ Precisión alta,Villavicencio,2025
7,"Administración pública y defensa, educación y atención de la salud humana",95.2,92.1,93.5,99.8,0.9,✅ Precisión alta,Yopal,2025
5,Transporte y almacenamiento,72.8,53.0,66.9,98.4,2.9,✅ Precisión alta,Yopal,2025
6,Industrias manufactureras,66.3,43.9,63.2,91.7,3.5,✅ Precisión alta,Yopal,2025
